$$	money
icbt	i can't believe that
icbu	I can't believe you
icbyst	i cant believe you said that
iccl	I could care less
icgup	I can give you pleasure
icic	I See. I See
icp	insane clown posse
icr	I can't rememer
icsrg	I can still reach Google
ictrn	I can't talk right now
icty	i can't tell you 
icu	i see you
icudk	in case you didn't know
icup	i see you pee
icw	I care why?
icwudt	I see what you did there
icwum	I see what you mean
icydk	in csae you didn't know
icydn	in case you didn't know
icymi	in case you missed it
id10t	idiot
idbtwdsat	I don't believe they would do such a thing
idby	I Don't Believe You
idc	I don't care
iddi	I didn't do it
idec	I don't even care
idek	I don't even know
idgac	i don't give a crap
idgi	I don't get it
idjit	idiot
idk	I don't know
idkbibt	I don't know but I've Been Told
idke	I don't know ethier
idkh	I don't know how
idkh2s	i don't know how to spell
idkt	I don't know that
idkw	I don't know why
idkwiwdwu	I don't know what I would do without you
idkwts	I don't know what to say
idkwurta	I don't know what you are talking about.
idkwym	I don't know what you mean
idky	I don't know you
idkyb	i don't know why but
idkymb2	I didn't know yoru mom blogs too
idl	I don't like
idli	I don't like it
idlu	i don't like you
idly	I don't like you
idlyitw	i don't like you in that way
idm	I don't mind
idn	i don't know
idnk	i don't know
idno	i do not know
idntk	i dont need to know
idonno	i do not know
idop	it depends on price
idot	idiot
idr	I don't remember
idrc	i don't really care
idrk	i don't really know
idrts	I don't really think so
idsw	i don't see why
idtis	I don't think I should
idtkso	i don't think so
idts	i don't think so
idunno	i do not know
iduwym	I don't understand what you mean.
idw2	I don't want to
idw2n	i don't want to know
idwk	I don't wanna know
idwt	i don't want to
idwtg	I don't want to go
idyat	idiot
iebkac	issue exists between keyboard and chair
ietf	internet engineering task force
iff	if and only if
ifthtb	i find that hard to belive
ifttt	if this then that 
ifwis	I forgot what I said
ig	I guess
ig2g	I got to go
ig5oi	I got 5 on it 
igalboc	I've got a lovely bunch of cocnuts
igg	i gotta go
ight	alright
igs	I guess so
igt	I Got This
igtg	i've got to go
igtgt	I got to go tinkle
igu	i give up
igyb	I Got Your Back
ih	it happens
ih2gp	I have to go pee
ih8	i hate
ih8mls	I hate my little sister 
ih8p	I hate parents
ih8tu	i hate you
ih8u	I hate you
ih8usm	i hate you so much
ih8y	I hate you
ihac	I have a customer
ihat3u	I hate you
ihistr	i hope i spelled that right
ihiwydt	I hate it when you do that
ihml	I hate my life
ihmp	i hate my parents
ihnc	i have no clue
ihni	i have no idea
iht	I heard that
ihtgttbwijd	I have to go to the bathroom
ihtsm	i hate this so much
ihtutbr	I have to use the bathroom
ihu	I hate you
ihurg	i hate your guts
ihusb	i hate you so bad 
ihusm	i hate you so much
ihy	i hate you
ihya	i hate you all
ihysm	I hate you so much
ihysmrn	i hate you so much right now
iigh	alright
iight	alright
iiok	is it okay
iirc	if I recall correctly
iistgtbtipi	If It Sounds Too Good To Be True It Probably Is
iit	is it tight
iitywimwybmad	if I tell you what it means will you buy me a drink
iitywybmad	if I tell you
iiuc	if I understand correctly
iiw2	is it web 2.0?
iiwii	it is what it is
ij	indide joke
ijaf	it's just a fact
ijdk	I just don't know
ijdl	I just died laughing
ijf	i just farted
ijgl	I just got laid
ijit	idiot
ijk	I'm Just kidding
ijp	Internet job posting
ijpmp	I just peed my pants
ijpms	I just pissed myself
ijr	i just remembered
ijsabomomcibstg	I just saved a bunch of money on my car insurance by switching to geico
ik	i know
iki	i know it
ikm	I know man
ikr	I know really
ikt	i knew that
ikwud	I know what you did
ikwum	I know what you meant
ikwyl	I know where you live
ikwym	i know what you mean
ilbcnu	i'll be seeing you
ilcul8r	I'll see you later
ilhsm	i love him/her so much
ili	i love it
ilml	I Love My Life
ilms	I love my self
ilotibinlirl	I'm laughing on the internet
ilshipmp	I laughed so hard I peed my pants
ilu	I love you
ilu2	I love you too
iluaaf	i love you as a friend
ilulafklc	I love you like a fat kid loves cake.
ilum	i love you more
ilusm	I love you So much
iluvm	I Love You Very Much
iluvu	i love you
iluvya	i love you
iluwamh	i love you with all my heart
ilvu	i love you
ily	i love you
ily2	i love you too
ily4e	i love you forever
ily4ev	i love you forever
ilyaas	I Love You As A Sister
ilyal	I like you a lot
ilybby	i love you baby
ilybtid	I Love You But Then I Don't
ilyf	I'll Love You Forever
ilygsm	i love you guys so much
ilykthnxbai	i love you k thanks bye
ilyl	i love you loads
ilylab	I love you like a brother
ilylabf	I love you like a best friend
ilylafklc	i love you like a fat kid loves cake
ilylas	i love you like a sister
ilylc	i love you like crazy
ilym	i love you more
ilymtyk	i love you more than you know
ilymtylm	i love you more than you love me
ilysm	i love you so much
ilysmih	i love you so much it hurts
ilysmm	i love you so much more
ilysmydek	I Love You So Much You Don't Even Know
ilysvm	i love you so very much
ilyvm	i love you very much
ilywamh	I love you with all my heart
im	Instant Message
im'd	instant messaged
ima	I am a
imao	in my arrogant opinion
imb	I am back
imcdo	in my conceited dogmatic opinion
imed	instant messaged
imh	I am here
imhbco	In my humble but correct opinion
imhe	in my humble experience
imho	in my humble opinion
imm	instant message me
imma	I'm going to
imnerho	In my not even remotely humble opinion
imnl	I'm not laughing
imnsho	in my not so humble opinion
imo	in my opinion
imoo	in my own opinion
impo	In My Personal Opinion
impov	in my point of view
imsb	i am so bored
imsry	I am sorry
imtaw	it may take a while
imts	I meant to say
imu	i miss you 
imusm	I miss you so much
imvho	in my very humble opinion
imwtk	Inquiring minds want to know
imy	I miss you
imy2	i miss you to
imya	i miss you already
in2	into
inb4	in before
inbd	it's no big deal
incld	include
incrse	increase
ind2p	I need to pee
indie	independent
inef	it's not even funny
inet	internet
inh	I need help
inho	in my honest opinion
inhwh	I need homework help
init	isn't it
inmp	it's not my problem
innit	isn't it
ino	I know
instagib	instant kill
instakill	instant kill
intarwebs	internet
intel	intelligence
interweb	internet
intpftpotm	I nominate this post for the post of the month
inttwmf	I am Not Typing This With My Fingers
invu	I envy you
ioh	I'm out of here
iois	Indicators of Interest
iokiya	it's ok if you are
ionno	I don't know
iono	I don't know
iotd	image of the day
iou	i owe you
iow	in other words
ioyk	if only you knew
ip	internet protocol
irc	internet relay chat
irdc	I really don't care
irdk	I really don't know
irgtgbtw	I've really got to get back to work
irhtgttbr	I really have to go to the bathroom
irhy	i really hate you
irl	in real life
irly	I really love you
irt	in reply to
irtf	I'll return the favor
is2g	i swear to god
isb	I'm so bored.
isbya	im sorry but you asked
isd	internet slang dictionary
ise	internal server error
isg	I speak geek
ishii	i see how it is
isianmtu	I swear I am not making this up
isj	inside joke
iso	In Search Of
isp	internet service provider
iss	im so sorry
istr	I seem to remember
istwfn	I stole this word from noslang.com
iswydt	i see what you did there
ita	I Totally Agree
itc	in that case
itd	in the dark
ite	alright
itk	in the know
itn	I think not
itt	in this thread
ityltk	I thought you'd like to know
itz	it's
itzk	it's ok
iucmd	if you catch my drift
iukwim	if you know what i mean
iunno	I don't know
iuno	i dunno
ive	i have
iw2mu	I want to meet you
iwaa	It was an accident
iwbrbl@r	I will be right back later
iwc	In Which Case
iwg	it was good
iwhi	I would hit it
iwjk	i was just kidding
iwk	I wouldn't know
iwlu4e	I will love you for ever
iwmu	i will miss you
iwmy	i will miss you
iwsul8r	I will see you later
iwtly	i want to love you
iwu	i want you
iwuwh	i wish you were here 
iwy	i want you
iwyb	I want your body
iwyn	I want you now
iwythmb	i want you to have my baby
iyam	if you ask me
iyc	if you can
iyd	In Your Dreams
iydhantsdsaaa	If you don't have anything nice to say don't say anything at all
iydmma	if you don't mind me asking
iyf	In your face
iyflg	If You're Feeling Less Generous
iygm	if you get me
iykwim	if you know what I mean
iym	I am your man
iyo	in your opinion
iyq	I like you
iyss	if you say so
iyswim	if you see what I mean
iywt	if you want to
iz	is
j	c
j/a	Just Asking
j/c	just curious
j/j	just joking
j/k	just kidding
j/p	just playing
j/s	just saying
j/t	just talking
j/w	just wondering
j00	you
j00r	your
j2bs	just to be sure
j2c	just too cute
j2f	just too funny
j2luk	just to let you know
j2lyk	just to let you know
j4f	just for fun
j4g	just for grins
j4l	just for laughs
j4u	just for you
jalaudlm	just as long as you don't leave me
jas	just a second
jb	jailbait
jbu	just between us
jc	just curious
jcam	just checking away message
jcath	Just chilling at the house
jebus	Jesus
jf	just fooling
jff	just for fun
jfg	just for giggles
jfi	just forget it
jfj	jump for joy
jfl	just for laughs
jflts	just felt like typing something
jfn	just for now
jfr	Just for reference
jftr	just for the record
jfu	just for you
jgiyn	Just google it you noob
jh	Just hanging
jhm	just hold me
jho	just hanging out
jic	just in case
jit	just in time
jj	just joking
jj/k	just joking
jja	just joking around
jk	just kidding
jka	just kidding around
jking	joking
jkl	just kidding loser
jklol	Just Kidding Laughing Out Loud
jkn	joking
jks	jokes
jkz	jokes
jlma	just leave me alone
jlt	just like that
jm	Just Messing
jma	just messing around
jml	just my luck
jmo	just my opinion
jms	just making sure
jom	just one minuite
joo	you
jooc	just out of curiosity
jooce	Juice
joor	your
jp	just playing
js	just saying
jsa	just stop already
jsing	just saying
jst	just
jsuk	just so you know
jsun	Just so you know
jsut	just
jsyk	Just so you know
jsyn	just so you know
jtay	just thinking about you
jtbs	Just To Be Sure
jtc	Join the club
jtluk	just to let you know
jtlyk	just to let you know
jtoi	just thought of it
jtol	just thinking out loud
jttsiowctw	just testing to see if other websites copy this word
jtty	just to tell you
jtumltk	just thought you might like to know
jtwii	just the way it is.
jtwiw	just the way it was.
jtyltk	just thought you'd like to know
jtysk	just thought you should know
jumping the couch	acting strange
jus	just
juss	just
juz	just
juzt	just
jw	just wondering
jw2k	just wanted to know
jwas	just wait a second
jwtlyk	Just wanted to let you know
k	ok
k3wl	cool
kah	kisses and hugs
kay	okay
kb	KiloBite
kcco	keep calm chive on
kek	laughing out loud
kewel	cool
kewl	cool
kfc	kentucky fried chicken
khitbash	kick her in the box and shove her
khuf	know how you feel
kia	Killed In Action
kib	okay
kic	keep it clean
kicks	sneakers
kig	keep it going
kiled	killed
kinda	kind of
kir	kid in room
kis	keep it simple
kisa	knight in shining armor
kit	keep in touch
kitteh	kitten
kiu	Keep it up
kiwf	Kill It With Fire
kk	ok
kkk	ku klux klan
kkthnxbye	okay thanks bye
kky	kinky
kl	cool
km	kiss me
kmn	kill me now
kmp	kill me please
kmsl	killing myself laughing
kmswl	killing myself with laughter
knewb	new player
kno	know
knw	know
ko	knock out
kol	kiss on lips
koo	cool
kool	cool
kos	kid over shoulder
kotc	kiss on the cheek
kotl	kiss on the lips
kotor	Knights of the old republic
kpc	keeping parents clueless
ks	kill steal
kss	kiss
kssd	kissed
kt	keep talking
ktc	kill the cat
kthanxbi	Okay
kthnxbai	Okay
kthnxbye	Okay
kthx	ok
kthxbai	ok thanks bye!
kthxbi	ok
kthxbye	ok
kthxbye	ok
kthxgb	ok thanks goodbye
kthxmn	Ok Thanks Man
kthz	ok thanks
ktnx	Okay and Thanks
kuhl	cool
kul	cool
kute	cute
kutgw	Keep Up The good Work
kuwl	cool
kwik	quick
kwim	Know What I Mean
kwis	Know what I'm saying?
kwit	quit
kwiz	quiz
kwl	cool
kwtsds	Kiss where the sun don't shine
kyfc	keep your fingers crossed
kyko	keep your knickers on
kys	kill yourself
l0lz	laugh out loud
l2	learn to
l2m	listening to music
l2ms	laughing to myself
l2p	learn to play
l2r	Learn to read
l337	elite
l33t	elite
l4m3rz	lamers
l8	late
l84skool	late for school
l8a	later
l8er	later
l8ers	Later
l8r	see you later
l8rs	laters
l8rz	later
l8s	later
l8t	later
l8ta	later
l8ter	later
l8tr	later
l@u	laughing at you
laff	laugh
lafs	love at first sight
lak	love and kisses
lal	laughing a little
lalol	lots and lots of laughs
lam	leave a message
lan	local area network
lappy	Laptop
larp	live action role
lat	laugh at that
lata	later
lates	later
latn	laugh at the newbs
latr	Later
latwttb	laughing all the way to the bank
lau	laugh at you
lawd	lord
lawl	lauging out loud with a southern drawl
lawl'd	laughed out loud
lawled	laughed out loud
lawls	laughing out loud with a southern drawl
lawlz	laughing out loud with a southern drawl
lazer	laser
lazor	laser
lbh	let's be honest
lbnr	laughing but not really
lbr	little boy's room
lbvs	laughing but very serious
lcsnpc	low cost small notebook personal computer
ldr	Long
lee7	elite
leet	elite
legit	legitimate
leik	like
leme	let me
lemme	let me
less than 3	love
less than three	love
lf	looking for
lf1m	Looking for one more
lf2m	looking for 2 more
lfg	Looking for group
lfm	looking for mate
lfnar	laughing for no aparent reason
lfr	Laughing for real
lgn	link goes nowhere
lgo	life goes on
lgot	let's go out tonight
lgr	little girls room
lgs	let's go shopping!
lic	like i care
liec	like i even care
liek	like
liekz	likes
lifo	last in first out
lih	Laugh in head
liita	love is in the air
lik	like
lil	little
lim	Like it Matters
limh	laugh in my head
liol	laugh insanely out loud
lirl	laughing in real life
liu	Look It Up
liv	live
liyf	laughing in your face
lj	live journal
lk	like
lke	like
llap	live long and prosper
llc	laughing like crazy
llol	literally laughing out loud
lltnt	live like theres no tomorrow 
lm4aq	Let's meet for a quickie.
lma	leave me alone
lmap	leave me alone please
lmfo	laughing my face off
lmfr	Lets Meet For Real
lmg	let me guess
lmgtfy	Let me Google that for you
lmho	laughing my heiny off
lmip	LETS MEET IN PERSON
lmirl	Let's meet in real life
lmk	let me know
lmks	Let Me Know Soon
lmkwut	let me know what you think
lml	love my life
lmo	Leave Me One
lmpo	laughing my panties off
lms	leave me some
lmso	laughing my socks off
lmtd	limited
lmtus	let me tell you something
lmty	laughing more than you
ln	last name
lnk	Link
lof	Laughing on floor
lofi	uncool
loi	laughing on the inside
lol	laughing out loud
lol'd	laughed out loud
lol2u	Laugh out loud to you
lol@u	Laugh out loud at you
lolarotf	laughing out loud and rolling on the floor
lolaw	laugh out loud at work
lolcano	laugh out loud
lolci	laughing out loud
lolcity	the whole city laughs out loud
lold	laughed out loud
lolees	laugh out loud
lolerz	laugh out loud
lolf	lots of love forever
lolin	laughing out loud
lolio	laugh out loud I own
lollam	Laughing Out Loud Like A Maniac
lollercaust	an extreme event of hilarity
lollercoaster	laugh out loud (a lot)
lollerskates	laughing out loud
lolm	laugh out loud man
loln	laught out loud... not
lolngs	laghing out loud never gonna stop
lolocost	laugh out loud
lolol	saying lol out loud
lololz	laugh out loud
lolpimp	Laughing out loud peeing in my pants
lolq	laugh out loud quietly
lolrof	Laughing out loud while rolling on the floor.
lolrotf	laughing out loud rolling on the floor
lols	laugh out loud 
lolvq	laugh out loud very quietly
lolwtime	laughing out loud with tears in my eyes
lolz	laugh out loud
lomg	like oh my god
loml	love of my life
lomy	love of my life
loomm	laughing out of my mind
lorl	laugh out real loud
lorrl	laugh out really really loud
lotf	laughing on the floor
loti	laughing on the inside
lotr	lord of the rings
lov	love
lovu	love you
loxen	laughing out loud
loxxen	laughing out loud
lozer	loser
lpms	life pretty much sucks
lq	Laughing Quietly
lq2m	laughing quietly to myself
lqtm	Laugh quietly to myself
lqtms	Laughing quietly to myself
lqts	laughing quietly to self
lrh	laughing really hard
lrqtms	laughing really quietly to myself
lrt	last retweet
lsfw	Less Safe For Work
lshic	laughing so hard i'm crying
lshid	laugh so hard i die
lshipmp	Laughing so Hard I Piss My Pants
lshiwms	laughing so hard I wet myself
lshmson	laughing so hard milk shot out nose
lshrn	laughing so hard right now
lsmih	laughing so much it hurts
lsr	loser
lsudi	Lets see you do it
lt	long time
ltb	looking to buy
lthtt	laughing too hard to type
ltip	laughting until I puke
ltm	listen to me
ltmq	Laugh To Myself Quietly
ltms	Laughing to my self
ltnc	Long time no see
ltns	long time no see
ltnsoh	Long time
ltnt	long time no talk
ltp	Lay the pipe
ltr	later
lttpot	laughing to the point of tears
ltw	Lead The Way
ltywl	love the way you lie
lu2	love you too
lu2d	love you to death
lu4l	love you for life
lub	laugh under breath
luf	love
luff	Love
luk	look
lukin	looking
lul	love you lots
lulab	Love you like a brother
lulas	Love You Like a Sister
lulz	Laughing out loud.
lurker	one who reads but doesn't reply
lurve	love
luser	user who is a loser
lusm	love you so much
luv	love
luver	lover
luvuvm	love you very much
luvv	love
luzar	Loser
lv	love
lve	Love
lvl	level
lvn	loving
lvr	lover
lvya	love you
lwih	look what I have
lwn	last week's news
ly	love you
ly2	love you to
lya	love you always
lyaab	Love you as a brother
lyaaf	Love you as a friend
lyf	life
lyfe	life
lyk	like
lyk3	like
lyke	like
lyl	love you lots
lylab	love you like a brother
lylaba	love you like a brother always
lylad	love you like a dad
lylafklc	love you like a fat kid loves cake
lylam	love you like a mom
lylas	I love you like a sister
lylasa	love you like a sister always
lylno	Love you like no other
lyls	love you lots
lymi	love you mean it
lysm	love you so much
lyt	love you too
lyvm	love you very much
lzer	laser
lzr	loser
m	am
m$	Microsoft
m$wxp	Microsoft Windows XP
m&d	mom and dad
m'kay	okay
m.i.a	Missing In Action
m.o	makeout
m/b	maybe
m/f	male or female
m2	me too
m3	me
m473s	friends
m473z	friends
m4f	male for female
m4m	male for male
m8	friend
m84l	mate for life
m8s	mates
m8t	mate
m8t's	friends
m9	mine
mabby	maybe
mabe	Maybe
mah	my
mai	my
marvy	marvelous
mayb	maybe
mayte	mate
mb	my bad
mbf	my best friend
mbfal	my best friend and lover
mbl8r	Maybe Later
mcds	mcdonalds
mcs	My computer sucks
mcse	Microsoft Certified Systems Engineer
me2	me too
meatcurtain	woman's private parts
meatspace	the real world
meeh	me
mego	my eyes glaze over
meh	whatever
messg	message
mfg	merge from current
mfw	my face when
mhh	my head hurts
mhm	Yes
mho	My Humble Opinion
mia	Missing In Action
mic	microphone
miid	my internet is down
min	minute
mins	minutes
miq	make it quick
mir	mom in room
mirl	meet in real life
misc.	miscellaneous
miself	myself
mite	might
miw	mom is watching
mk	mmm....ok
mkay	ok
mlc	mid life crisis
mle	emily
mlia	my life is amazing
mlod	mega laugh out loud of doom
mlp	my little pony
mmamp	Meet me at my place
mmas	meet me after school
mmatc	meet me around the corner
mmatp	meet me at the park
mmbocmb	message me back or comment me back
mmd	make my day
mmiw	my mom is watching
mmk	umm
mml	making me laugh
mml8r	meet me later
mmmkay	okay
mmt	meet me there
mmtyh	My mom thinks you're hot
mmw	making me wet
mngmt	management
mngr	manager
mnm	eminem
mnt	More next time
mobo	motherboard
mof	matter of fact
moh	Medal Of Honor
mol	more or less
mompl	moment please
mor	more
morf	male or female
moro	tomorrow
mos	mom over shoulder
motarded	more retarded
motd	message of the day
mpaw	my parents are watching
mpbis	most popular boy in school
mpd	Multiple Personality Disorder
mpgis	most popular girl in school
mph	miles per hour
mpty	more power to you
mrau	message received and understood
msf	male seeking female
msg	message
msgs	messages
msibo	my side is busting open
msie	microsoft's internet explorer
msm	main stream media
msmd	monkey see 
msngr	messenger
mssg	message
msv	Microsoft Vista
mtf	More to Follow
mtfbwu	may the force be with you
mtfbwy	May the Force be with you
mtg	Meeting
mtl	more than likely
mtr	matter
mty	empty
mu	miss you
mudda	mother
mul	miss you lots
musiq	music
musm	Miss You So Much
mutha	mother
muve	multi
muvva	mother
muzik	music
mw2	modern warfare 2
mw3	Modern Warfare 3
mwah	kiss
mwf	Married White Female
mwsmirl	maybe we should meet in real life
myaly	miss you and love you
myn	mine
myob	mind your own business
mypl	my young padawan learner
mysm	Miss you so much
myspce	myspace
n	and
n e	any
n/a	not applicable
n/c	no comment
n/m	nevermind
n/n	nickname
n/o	no offense
n/t	no text
n00b	newbie
n00bs	newbies
n00dz	nudes
n00s	news
n1	nice one
n199312	african american
n1994	african american
n2	into
n2b	not too bad
n2bb	nice to be back
n2br	not to be rude
n2g	Not too good
n2m	not too much
n2mh	not too much here
n2mhbu	not too much how about you?
n2mhjc	not too much here just chillin
n2mu	not too much
n2n	need to know
n2p	need to pee
n64	Nintendo 64
n8v	native
na	not applicable
na4w	not appropriate for work
naa	not at all
nade	grenade
nafc	Not Appropriate for Children
nafkam	Not Away From Keyboard Any More
nafta	North American Free Trade Agreement
nah	no
namh	not at my house
nao	Not As Often
natch	naturally
natm	not at the minute
naw	no
nawidt	never again will i do that
nawt	not
naww	no
nayl	in a while
nb	not bad
nb	p  
nbd	no big deal
nbdy	nobody
nc	not cool
ncs	no crap sherlock
nd	and
ndit	No details in thread
ndn	indian
nds	Nintendo DS
ne	any
ne1	anyone
neday	any day
nedn	any day now
nefing	anything
neida	any idea
nekkid	naked
nemore	Anymore
nes	Nintendo Entertainment System
nethin	anything
nething	anything
neva	never
nevah	never
nevar	Never
nevarz	never
nevm	never mind
nevr	never
newais	Anyways
neway	anyway
neways	anyways
newayz	anyways
newb	someone who is new
newbie	new player
newez	anyways
nf	not funny
nfbsk	not for british school kids
nfr	not for real
nfs	not for sale
nft	no further text
ng	nice game
ngl	Not Gonna Lie
nh	nice hand
nhatm	not here at the moment
ni	no idea
nib	new in box
nic	Network Interface Card
nif	non internet friend
nifoc	naked in front of computer
nifok	naked in front of keyboard
nimby	not in my backyard
nin	no its not
nip	nothing in particular
nite	night
nj	Nice job
njoy	enjoy
njp	nice job partner
nk	no kidding
nkt	never knew that
nld	nice lay down
nm	not much
nm u	not much
nmbr	number
nme	enemy
nmf	not my fault
nmh	not much here
nmhau	nothing much how about you
nmhm	nothing much here
nmhu	nothing much here
nmhwby	nothing much here what about you
nmjb	nothing much just bored
nmjc	not much
nmjch	Nothing Much Just Chilling
nmjcu	nothing much
nmjdhw	nothing much just doing homework
nmnhnlm	no money
nmp	Not My Problem
nmu	nothing much
nmw	no matter what
nmwh	no matter what happens
nn	good night
nn2r	no need to respond
nnaa	no not at all
nnfaa	no need for an apology
nnr	no not really
nntr	no need to reply
nntst	no need to say thanks
no pro	no problem
no1	no one
noaa	National Oceanic and Atmospheric Administration
noe	know
noes	no
nofi	No Flame Intended
nolm	No one loves me
nomw	not on my watch
noob	someone who is new
noobie	new person
nooblet	new player
noobz0r	newbie
noodz	nude pictures
nop	normal operating procedure
notin	nothing
noty	no thank you
noub	none of your business
nowai	No way
nowin	knowing
noyb	none of your business
np	no problem
np4np	naked pic for naked pic
npa	not paying attention
npc	Non
npe	nope
npgf	no problem girl friend
nph	no problem here
npi	no pun intended
npnt	no picture
nps	No Problems
nq	Thank you
nr	no reserve
nr4u	not right for you
nrg	energy
nrn	No Response Necessary
ns	nice
nsa	No Strings Attached
nsfmf	not so fast my friend
nsfw	not safe for work
nst	no school today
nstaafl	No Such Thing As a Free Lunch
nt	nice try
ntb	not to bad
ntbn	no text
nthg	nothing
nthin	nothing
nthn	nothing
ntk	Need to know
ntkb	need to know basis
ntm	not to much
ntmk	Not to my knowledge
ntmu	nice to meet you
ntmy	nice to meet you
ntn	nothing
ntrly	Not Really
nts	note to self
ntstt	not safe to talk 
ntt	need to talk
ntta	nothing to talk about 
nttawwt	Not that there is anything wrong with that
nttiawwt	Not that there is anything wrong with that.
ntty	nice talking to you
ntw	not to worry
ntxt	no text
nty	no thank you
nu	new
nub	inexperienced person
nuff	enough
nuffin	nothing
nufin	nothing
nutin	nothing
nuttin	nothing
nv	envy
nvm	never mind
nvmd	nevermind
nvmdt	never mind then
nvmt	nevermind that
nvr	never
nvrm	Nevermind
nvrmnd	never mind 
nw	no way
nwb	a new person
nwrus	no way are your serious 
nws	not work safe
nwy	no way
nxt	next
ny1	Anyone
nyc	New York City
nyf	not your fault
nyp	not your problem
nywy	anyway
o	Oh
o rly	oh really
o&o	over and out
o.p.	Original Poster
o/y	oh yeah
oaoa	over and over again
oar	on a roll
oaw	on a website
obgjfioyo	old but good job finding it on your own
obj	Object
obl	osama bin laden
obo	or best offer
obtw	oh
obv	obviously
obvi	obviously
occ	Occupation
ocd	obsessive compulsive disorder
ocgg	Oh Crap
od	over dose
oday	software illegally obtained before it was released
odg	oh dear God
oe	or else
oed	oxford english dictionary
of10	often
ofc	of course
ofcol	oh for crying out loud
oftc	out for the count
oftn	often
oftpc	off topic
ofwg	old fat white guys
og	original gangster
ogw	oh guess what
oh noez	Oh no!
ohic	oh I see
ohnoez	Oh no
oibmpc	oops I broke my computer
oic	oh
oicic	oh i see i see
oicu	oh
oicwydt	oh
oidia	oops i did it again
oiyd	Only In Your Dreams
oj	orange juice
ojsu	Oh
ok	okay
oll	online love
olpc	One Laptop Per Child
omdg	oh my dear god
omdz	Oh My Days 
omfsm	Oh My Flying Spaghetti Monster
omg	oh my God
omg's	oh my god's
omgd	Oh my gosh dude
omgg	Oh my gosh girl
omgih	Oh My God In Heaven
omgihv2p	oh my god i have to pee
omginbd	Oh my God
omgn	oh my goodness
omgny	oh my god no way
omgosh	Oh my gosh
omgsh	oh my gosh
omgty	Oh my god thank you
omgukk	oh my god you killed kenny
omgyg2bk	oh my god you got to be kidding
omgz	oh my God
omgzors	oh my god
omj	oh my jesus
omt	one more time
omw	on my way
omwh	on my way home
omwts	on my way to school
omy	oh my!
onoez	oh no
onoz	oh no
onud	oh no you didn't
onyd	oh no you didn't
oob	out of buisness
oobl	out of breath laughing
ooc	out of character
oohm	out of his/her mind
oom	Out of mana
oomf	One of my followers
oomm	out of my mind
ooo	out of the office
ootb	out of the blue
oow	On our way
ooym	out of your mind
op	operator
orgy	orgasm
orly	Oh Really
orly	oh really?
orpg	online role playing game
os	operating system
osd	On Screen Display
oslt	or something like that
osy	oh screw you
ot	off topic
otc	off the chain
otfcu	on the floor cracking up
otfl	on the floor laughing
otflol	on the floor laughing out loud
oti	on the internet
otl	out to lunch
otoh	on the other hand
otp	on the phone
ots	over the shoulder
ott	over the top
otw	on the way
ova	over
oways	oh wow are you serious
owned	made to look bad
ownt	made to look bad
ownz	owns
ownzer	one who makes others look bad
ownzorz	Owned.
owt	Out
oww	Oops
oyid	oh yes i did
oyo	on your own
oyr	Oh Yeah Right
p.o.b.	Parent Over Back
p.o.s	parent over shoulder
p.o.s.	parent over shoulder
p/oed	pissed off
p0wn	make to look bad
p2p	peer to peer
p4p	pic for pic
p911	parent emergency (parent near)
p@w	parents are watching
pach	parents are coming home
pachs	parents are coming home soon
pae	Pimpin aint easy
pag	Parents Are Gone
pah	parents at home
parnts	parents
pas	parent at side
pasii	put a sock in it
patd	Panic At The Disco
paw	parents are watching
pbb	parent behind back
pbcakb	problem between chair and keyboard
pbkc	Problem between keyboard & chair
pbly	probably
pbm	parent behind me
pbp	Please Be Patient
pcbd	page cannot be displayed
pce	peace
pcent	percent
pcrs	Parents can read slang
pda	public display of affection
pearoast	repost
pebcak	Problem Exists Between Chair and Keyboard
pebkac	problem exists between keyboard and chair
pebmac	Problem Exist Between monitor and chair
peep dis	check out what I'm telling you
peeps	people
peoples	people
perv	pervert
pex	Please explain?
pezzas	parents
pf	profile 
pfa	Please Find Attached
pfm	Please forgive me
pfos	parental figure over sholder
pfy	pimply faced youth
pg	page
ph#	phone number
ph33r	fear
ph34r	fear
phail	fail
phat	pretty hot and tasty
phayl	fail
phear	fear
phlr	peace hugs love respect
phm	please help me
phreak	freak
phreaker	phone hacker
phun	fun
pic	picture
piccies	Pictures
pics	pictures
pimpl	pissing in my pants laughing
pino	Filipino
pir	parents in room
pirlos	parent in room looking over shoulder
pitr	parent in the room
pitrtul	parents in the room text you later
piw	Parent is watching
pix	pictures
pk	player kill
pkemon	pokemon
pker	player killer
pking	player killing
pl	parent looking
pl0x	please
pl8	plate
plac	parent looking at computer
plams	parents looking at my screen
plars	party like a rock star
platcs	parent looking at the computer screen
ple's	please
pleaz	please
pleez	please
pleeze	please
pleze	please
pliz	please
plma	please leave me alone 
plmk	please let me know
plocks	please
plom	parents looking over me
plomb	parents looking over my back
ploms	parent looking over my shoulder
plos	Parents Looking Over Shoulder
plox	please
ploxxorz	please
pls	please
plse	please
plx	please/thanks
plywm	play with me
plz	please
plzkthx	Please? OK
plzthx	please? Thanks
pmfji	Pardon me for jumping in
pmg	oh my God
pml	pissing myself laughing
pmo	pissing me off
pmp	pissing my pants
pmpl	piss my pants laughing
pmsl	piss my self laughing
pnbf	Potential new boy friend
po	piss off
po po	police
po'd	pissed off
pob	parent over back
poc	Piece of crap
poed	pissed off
poets	piss off early
